Příspěvková organizace,Činnost,Rozpočet 2015 (v tis. Kč)
Technická správa komunikací,Silnice,2 968 687
MHMP MĚSTSKÁ POLICIE,Bezpečnost a veřejný pořádek,1 711 830
IPR PRAHA,Územní plánování,300 181
SPRÁVA SLUŽEB HL.M.PRAHY,Bezpečnost a veřejný pořádek,267 990
ZDRAV.ZÁCHR.SLUŽBA HMP,Zdravotnická záchranná služba,236 103
MĚSTSKÁ KNIHOVNA V PRAZE,Činnosti knihovnické,230 000
SOŠ STAVEBNÍ A ZAHRAD. P9,Střední odborná učiliště a učiliště,97 924
KONZERVATOŘ NA REJDIŠTI,Konzervatoře,96 568
ZOOLOGICKÁ ZAHRADA HL. M. PRAHY,Ochrana druhů a stanovišť,91 461
CENTRUM SOC.SLUŽ. PRAHA,Centra sociálně rehabilitačních služeb,87 390
GALERIE HL.M.PRAHY,Činnosti muzeí a galerií,85 807
SYMFONICKÝ ORCHESTR HL. M. PRAHY FOK,Hudební činnost,83 576
BOTANICKÁ ZAHRADA HL.M.PRAHY,Ochrana druhů a stanovišť,73 828
GYMNÁZIUM A HUDEBNÍ ŠK.HL.M.PRAHY  P3,Gymnázia,69 745
"KONZERVATOŘ, VOŠ J.J.  P4",Konzervatoře,66 895
SŠ TECH. ZELENÝ PRUH  P4,Střední odborná učiliště a učiliště,66 884
ROPID,Ostatní záležitosti v dopravě,66 490
DIVADLO NA VINOHRADECH,Divadelní činnost,65 712
SŠ AUTOMOBILNÍ A INFORMATIKY  WEILOVA  P10,Střední odborná učiliště a učiliště,62 691
MĚSTSKÁ DIVADLA PRAŽSKÁ,Divadelní činnost,57 647
VOŠ ZDRAVOTNICKÁ A SZŠ P4,Střední odborné školy,56 745
"JEDLIČKŮV ÚSTAV, MŠ,ZŠ,SŠ",Domovy,55 873
SŠ -COPTH PODĚBRADSKÁ  P9,Střední odborná učiliště a učiliště,55 821
SOU GASTRON. A PODNIKÁNÍ,Střední odborná učiliště a učiliště,55 818
HUD.DIVADLO V KARLÍNĚ,Divadelní činnost,53 804
VOŠ A SPŠ POT.TECHNOL. P2,Střední odborné školy,53 428
SPRÁVA PRAŽ.HŘBITOVŮ,Pohřebnictví,51 469
SOŠ PRO ADM. EU  LIPÍ  P9,Střední odborná učiliště a učiliště,51 384
SŠ a MŠ ALOYSE KLARA  P4,Speciální střední školy,49 576
DpS ELIŠKY PURKYŇOVÉ,Domovy pro seniory,47 094
MUZEUM HL.M. PRAHY,Činnosti muzeí a galerií,46 219
DpS ĎÁBLICE,Domovy pro seniory,45 821
SZŠ A VZŠ ALŠOVO NÁBŘ. P1,Střední odborné školy,45 774
DĚTSKÉ CENTRUM PAPRSEK,Denní stacionáře a centra denních služeb,45 014
SPŠ SDĚLOVACÍ TECHNIKY P1,Střední odborné školy,42 032
GYM. NAD ŠTOLOU  P7,Gymnázia,41 786
GYM. BUDĚJOVICKÁ  P4,Gymnázia,41 535
SŠ EL. A STROJ.JESENICKÁ,Střední odborná učiliště a učiliště,40 970
VOŠPg a SOŠPg a GYM.  P6,Střední odborné školy,40 414
VOŠ A SPŠ DOPRAVNÍ  P1,Střední odborné školy,40 084
SPŠ NA PROSEKU  P9,Střední odborná učiliště a učiliště,39 536
DIVADLO V DLOUHÉ,Divadelní činnost,39 308
SPŠ NA TŘEBEŠÍNĚ  P10,Střední odborné školy,38 644
ŠVANDOVO DIVADLO,Divadelní činnost,38 310
GYM. J.H. MEZI ŠKOLAMI P5,Gymnázia,37 638
SOU GASTRONOMIE  P10,Střední odborná učiliště a učiliště,37 489
OA ČSL DR.E.BENEŠE P2,Střední odborné školy,37 467
"SŠ ZDRAVOTNICKÁ,RUSKÁ P10",Střední odborné školy,37 143
DOMOV SOC.SLUŽEB VLAŠSKÁ,Domovy,37 079
SŠ UMĚLECKÁ A ŘEMESLNÁ P5,Střední odborná učiliště a učiliště,36 854
HOTELOVÁ ŠKOLA RADLICKÁ,Střední odborné školy,36 796
DpS  ZAHRADNÍ MĚSTO,Domovy pro seniory,36 710
VOŠ A SUPŠ ŽIŽKOVO NÁM.P3,Střední odborné školy,35 484
ICSS ODLOCHOVICE,Domovy,35 097
GYM. J.NERUDY HELLICHOVA,Gymnázia,34 935
DDM HMP KARLÍN  P8,Využití volného času dětí a mládeže,34 703
ZŠ a MŠ V REMÍZKU     P5,Základní školy,34 541
GYM. VODĚRADSKÁ  P10,Gymnázia,34 409
DZR TEREZÍN,Domovy,34 078
ZŠ a MŠ  ANGEL    P12,Základní školy,33 418
ZŠ SOCHÁŇOVA  P17,Základní školy,33 295
GYM. NA VÍTĚZNÉ PLÁNI  P4,Gymnázia,33 132
ZŠ POLESNÁ    P21,Základní školy,33 105
SPŠ ELEKTROTECH.JEČNÁ  P2,Střední odborné školy,32 922
SPŠ STAVEB. J.GOČÁRA  P4,Střední odborné školy,32 826
DOMOV  PRO OS. SE ZDRAV.POSTIŽENÍM SULICKÁ,Domovy,32 325
GYM. ARABSKÁ  P6,Gymnázia,32 302
SOU SLUŽ.NOVOVYSOČANSKÁ,Střední odborná učiliště a učiliště,32 294
GYM. OPATOV  P4,Gymnázia,31 999
ZŠ E.DESTINNOVÉ P6,Základní školy,31 912
MINOR,Divadelní činnost,31 882
GYM. NAD ALEJÍ  P6,Gymnázia,31 654
"SMÍCHOVSKÁ SPŠ, PRESLOVA",Střední odborné školy,31 613
GYM. ÚSTAVNÍ  P8,Gymnázia,31 553
HOTELOVÁ ŠKOLA VRŠOVICKÁ,Střední odborné školy,31 504
ZŠ PRO ŽÁKY SE SPEC. VÝV. POR.CHOVÁNÍ,Speciální základní školy,31 221
ZŠ FILOSOFSKÁ     P4,Základní školy,31 200
NKP VYŠEHRAD,Činnosti muzeí a galerií,31 127
ZŠ a MŠ BARRANDOV         P5,Základní školy,30 741
GYM. LITOMĚŘICKÁ  P9,Gymnázia,30 739
ZŠ a MŠ ČERVENÝ VRCH  P6,Základní školy,30 701
GYM. J.KEPLERA  P6,Gymnázia,30 308
GYM. POSTUPICKÁ  P4,Gymnázia,30 281
SOU OHRADNÍ  P4,Střední odborná učiliště a učiliště,30 203
GYM. ČESKOLIPSKÁ  P9,Gymnázia,30 058
SOŠ A SOU PRAHA-ČAKOVICE  P9,Střední odborná učiliště a učiliště,29 990
GYM. OMSKÁ  P10,Gymnázia,29 634
ZŠ BOHUMILA HRABALA P8,Základní školy,29 437
ZŠ BRÁNA JAZYKŮ S MAT. P1,Základní školy,29 224
ZŠ a MŠ NA BERÁNKU     P12,Základní školy,29 188
TANEČNÍ KONZERVATOŘ  P1,Konzervatoře,29 042
ZŠ a MŠ OHRADNÍ 49     P4,Základní školy,28 672
