IČO,Název,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total Result,kolikrát dostali dotaci
Total Result,,23 320 000,19 300 000,16 450 000,20 430 000,33 070 000,50 150 000,34 700 000,29 350 000,37 050 000,38 490 000,62 140 000,47 650 000,54 734 000,197 105 000,663 939 000,
538663,SK Motorlet Praha,,2 500 000,2 800 000,4 500 000,1 500 000,2 550 000,6 600 000,1 000 000,2 000 000,1 300 000,1 300 000,1 500 000,4 000 000,3 500 000,35 050 000,13
26547970,SK Hala Lužiny,,,,,400 000,,,,0,,,,3 000 000,15 000 000,18 400 000,3
49197045,FK Slavoj Vyšehrad,,3 500 000,3 500 000,,800 000,,,,0,2 500 000,,5 000 000,,3 000 000,18 300 000,6
550311,TČlovýchovná jednota TEMPO PRAHA,0,,,,150 000,,,1 000 000,950 000,1 600 000,650 000,1 800 000,,9 000 000,15 150 000,7
537799,Tělocvičná jednota Sokol Kobylisy,60 000,,,,,,,0,,700 000,,,,12 000 000,12 760 000,3
539015,"Tělovýchovná jednota Tatran Střešovice, o. s.",,,,,1 100 000,,4 000 000,,300 000,1 500 000,,,,5 750 000,12 650 000,5
198773,TJ ABC Braník,,,,,,3 000 000,2 500 000,500 000,250 000,,,,,5 900 000,12 150 000,5
43002609,SK Aritma Praha,,3 500 000,500 000,,500 000,4 000 000,,,750 000,800 000,450 000,800 000,,600 000,11 900 000,9
393495,Univerzitní sportovní klub Praha,1 000 000,1 400 000,,900 000,0,4 000 000,4 000 000,,0,500 000,,,,,11 800 000,6
18626696,SK Střešovice 1911,,,,,1 700 000,4 000 000,,200 000,300 000,0,,500 000,,5 000 000,11 700 000,6
43005802,AC Sparta Praha,,,,,1 800 000,2 000 000,2 500 000,0,0,1 050 000,1 100 000,1 200 000,,1 500 000,11 150 000,7
548693,"""SPORTOVNÍ KLUB SLAVIA PRAHA""",,,,,,,,0,2 950 000,1 440 000,900 000,250 000,3 000 000,2 350 000,10 890 000,6
25083261,HAMR - Sport a.s.,,,,,,,,,,,1 850 000,4 000 000,,5 000 000,10 850 000,3
15887456,"Tělovýchovná jednota
Bohemians Praha",0,,950 000,800 000,900 000,,1 100 000,,1 500 000,300 000,,,1 350 000,3 700 000,10 600 000,8
406741,Fotbalová asociace České republiky,,,,,,,,,,,,,,10 000 000,10 000 000,1
548707,TJ Lokomotiva Praha,250 000,,2 500 000,,0,6 300 000,,0,,,400 000,,,300 000,9 750 000,5
47607122,FK Admira Praha,,,3 500 000,,,,,0,0,,,,1 460 000,4 500 000,9 460 000,3
70804222,CU Bohemians,,,,,1 500 000,2 000 000,1 400 000,500 000,400 000,,1 000 000,300 000,,1 905 000,9 005 000,8
45246491,TČlocvičná jednota Sokol Vyšehrad,,,,,500 000,,,650 000,350 000,300 000,350 000,1 360 000,600 000,4 850 000,8 960 000,8
47610875,HC HVċZDA PRAHA,,,,1 500 000,,,,500 000,550 000,400 000,1 600 000,1 700 000,,2 600 000,8 850 000,7
26644746,SC Radotín z.s.,,,,,1 000 000,,,,1 750 000,800 000,,,,5 000 000,8 550 000,4
542041,SK Praha 4,1 700 000,,,,300 000,,,400 000,1 040 000,1 450 000,400 000,,2 500 000,500 000,8 290 000,8
200191,TČlocvičná jednota Sokol Praha Královské Vinohrady,,,,,,,,,1 000 000,600 000,1 200 000,450 000,,5 000 000,8 250 000,5
539601,SK PROSEK PRAHA,,,,,,,,,,,5 000 000,3 000 000,,,8 000 000,2
15268551,"SK Čechie Uhříněves, z.s.",,,,,,,,,,,2 000 000,1 000 000,,5 000 000,8 000 000,3
49626183,FK Meteor Praha VIII,1 300 000,,,,700 000,,,0,0,1 100 000,3 600 000,950 000,,,7 650 000,5
62934252,SK Třeboradice,,,,,,3 000 000,0,0,,,2 900 000,,1 500 000,,7 400 000,3
49281771,Tělocvičná jednota Sokol Vinoř,,,,,,,,,,,,,550 000,6 800 000,7 350 000,2
63999609,SK Slavia Praha,250 000,2 850 000,2 700 000,,1 500 000,,,,,,,,,,7 300 000,4
60445190,EAGLES Praha z.s.,,1 000 000,,,,,1 800 000,,,1 700 000,2 150 000,280 000,,300 000,7 230 000,6
67984142,FK Dukla Praha,,,,,,4 500 000,,1 000 000,700 000,700 000,,,,,6 900 000,4
45243077,I. Český Lawn - Tennis Klub Praha,,,,,0,,,,0,,800 000,900 000,2 000 000,3 150 000,6 850 000,4
389838,HC Kobra Praha,,,,,,,,1 500 000,700 000,900 000,1 200 000,1 500 000,,800 000,6 600 000,6
536288,FC Tempo Praha,,150 000,,,250 000,,1 800 000,0,,100 000,,,4 000 000,,6 300 000,5
552941,"Tělocvičná jednota Sokol
Praha Vršovice",0,,,1 680 000,500 000,,,450 000,1 500 000,0,700 000,,704 000,700 000,6 234 000,7
63830272,Tělocvičná jednota Sokol Žižkov II.,,,,,100 000,,,1 100 000,,250 000,,,4 250 000,,5 700 000,4
537829,"Tělovýchovná jednota Jižní Město Chodov,o.s.",2 000 000,,,1 500 000,400 000,,,50 000,,0,,,,1 500 000,5 450 000,5
14888327,TJ Žižka Praha,0,,,5 150 000,0,,,50 000,,,,,,,5 200 000,2
69060461,1. HFK DČkanka o.s.,,,,,,,,100 000,1 270 000,100 000,,1 700 000,2 000 000,,5 170 000,5
22846662,"SK HAMR, o.s.",,,,,,,,,,2 500 000,2 600 000,,,,5 100 000,2
27367312,"LALASA, spol. s r.o.",,,,,,,,,,,,,,5 000 000,5 000 000,1
48137715,FK Újezd nad Lesy,300 000,,,,,,,,1 000 000,900 000,1 700 000,600 000,,500 000,5 000 000,6
49276450,Tělovýchovná jednota sokol Bílá Hora,,,,,,,3 000 000,2 000 000,,0,,,,,5 000 000,2
27010325,Hockey Club Slavia Praha,,,,,,,,,,,,700 000,3 000 000,1 000 000,4 700 000,3
unknown,různé,830 000,,,1 000 000,950 000,1 000 000,,850 000,,,,,,,4 630 000,5
22735135,Beachklub Ládví o.s.,,,,,,,,,500 000,,400 000,500 000,,3 100 000,4 500 000,4
22888993,TJ Praga,0,,,,,4 300 000,,,,,,,,,4 300 000,1
47606169,Tělocvičná jednota Sokol Kbely,,,,,4 000 000,,,300 000,0,0,,,,,4 300 000,2
49281020,Sportovní klub Dolní Chabry,,,,,,,,,,,250 000,,4 000 000,,4 250 000,2
26669277,Kotlářka Praha,,,,,,,,700 000,0,500 000,1 500 000,,,1 500 000,4 200 000,4
15890112,TĚLOVÝCHOVNÁ JEDNOTA AC PRAHA 1890,,,,,0,,,550 000,250 000,100 000,,,,3 200 000,4 100 000,4
409537,Česká obec sokolská,,,,,,,,,1 150 000,600 000,1 800 000,500 000,,,4 050 000,4
69347379,SSK Future,,,,,,4 000 000,,,,,,,,,4 000 000,1
