Pražský svaz Taekwondo WTF;nemá
Česká jezdecká federace;http://www.cjf.cz/files/stranky/dokumenty/fineko/finance-a-ekonomika/v%C3%BDro%C4%8Dn%C3%AD%20zpr%C3%A1va%20CJF%202015.pdf
ČBF;Pražský basketbalový vaz, evidenční číslo ČBF 01;http://www.cbf.cz/files/137069YmM.docx (jako nadřízený spolek, Česká basketbalová federace).
Česká asociace squashe;nemá
Česká boxerská asociace, z.s. http://www.czechboxing.cz/data/document/file/vyrocni-zprava-cba-2014.pdf poslední za rok 2014
Česká florbalová unie;nemá
Česká golfová federace;http://fls.cgf.cz/DBFL/CGSRedaction/Documents/V%C3%BDro%C4%8Dn%C3%AD%20zpr%C3%A1va%20%C4%8CGF%20na%20%C5%99%C3%A1dnou%20konferenci%20%C4%8CGF%202016.pdf
Česká rugbyová unie, z.s.;nemá
Česká softbalová asociace;nemá
Český badmintonový svaz, z.s; http://czechbadminton.cz/article/zprava-predsedkyne-cbas-hany-prochazkove-prednesena-na-valne-hromade
Český svaz aerobiku a fitness FISA-F, cz;http://fisaf.cz/wp-content/uploads/2016/12/VYROCNI-ZPRAVA-final.pdf
Český svaz akrobatického Rock and Rollu;nemá
Český svaz Biatlonu, z. s.;http://biatlon.spravcewebu.cz/wp-content/uploads/2014/10/zprava-o-cinnosti-schv.doc ale jen za rok 2010.
Český svaz Házené a.s..;mají jen pro kontrolní komisi http://chf.cz/documents/20161231_v%C3%BDro%C4%8Dn%C3%AD%20zpr%C3%A1va%20okk%202016_final%20po%20odsouhlasen%C3%AD.pdf
Český svaz kanoistů, z.s.;nemá
Český svaz ledního hokeje z.s.;nemá
Český svaz moderního pětiboje, z.s.;nemá
Český svaz mužského lakrosu, z.s.;nemá od roku 2009
Český svaz Taekwon-do ITF.z.s.;nemá
Český šermířský svaz, z.s.;nemá
Krajský svaz jachtingu Praha, z.s.;http://docplayer.cz/35803997-Zprava-o-cinnosti-za-obdobi.html
Pražská tělovýchovná unie, z.s.;nemá i veřejně, jen uvádí, že si jí ale schválila. 
Pražský atletický svaz;nemá
Pražský cyklistický svaz;mají jen za rok 2014: http://prazskycyklistickysvaz.cz/o-nas/21-zprava-o-cinnosti.html
Pražský fotbalový svaz;nemá
Pražský gymnastický svaz, z.s.;nemá
Pražský svaz Českého svazu plaveckých sportů;nemá
Pražský svaz hokejbalu, z.s.;nemá
Pražský svaz karate, z.s.;http://www.pske.cz/ke_stazeni/vh/zprava%20predsedy%20PSKe%20VH%202015.pdf
Pražský svaz lyžařů, spolek;nemá
Pražský svaz pozemního hokeje, z.s.;nemá
Pražský svaz stolního tenisu, z.s.;nemá
Pražský svaz zápasu;nemá
Pražský tenisový svaz;nemá
Pražský veslařský svaz;nemá
Pražský volejbalový svaz;nemá
Region Severozápad, pobočný spolek České baseballové asociace;nemá
Active Times s.r.o.;nemá
Basketbalový klub CBC Praha;nemá
Česká asociace silového trojboje;nemá
Česká basketbalová federace, z.s.;http://www.cbf.cz/files/137069YmM.docx
Česká rugbyová unie, z.s.;nemá
Česká softbalová asociace;nemá
Český badmintonový svaz, z.s; http://czechbadminton.cz/article/zprava-predsedkyne-cbas-hany-prochazkove-prednesena-na-valne-hromade
Český svaz moderního pětiboje;nemá
EVL'S Fitness s.r.o.;nemá
CHALLENGER HOCKEY s.r.o.;nemá
I. ČLTK Praha, spol. s.r.o.;nemá
Kolo pro život  z.s.;nemá
Tělovýchovná jednota Tatran Střešovice, z.s.;nemá
Tennis Arena s.r.o.;nemá
TRI Prague s.r.o.;nemá
WTF Communications s.r.o.;nemá. Je to reklamní agentura.
Beachclub Strahov, z.s.;http://www.beachpraha.cz/single-post/2015/12/31/Ohl%C3%A9dnut%C3%AD-za-rokem-2015-a-v%C3%BDhled-na-rok-2016
Český svaz cyklistiky, z.s.- nemá
Festival Sporťáček, z.s.;nemá
H-  Triatlon z.s.;nemá
Sdružení závodů Běchovice;nemá
Sportovní kluby Praha 4.;nemá
Česká klusácká asociace, z.s.; nemá
Senior fitness z.s.; http://www.seniorfitnes.cz/clanky/o-nas/vyrocni-zpravy/vyrocni-zprava-2016-podklad/
