Odměny z příkazní smlouvy placené Pirátskou stranou, , , , ,
Měsíc, Jakub Michálek, Mikuláš Ferjenčík, Ondřej Profant, Adam Zábranský

10/2015, 12562, 10306, 11168, 11511
11/2015, 13036, 11445, 9509, 12394
12/2015, 12193, 9029, 10690, 5729
1/2016, 12278, 9548, 11851, 8419
2/2016, 6018, 9254, 10338, 9612
3/2016, 5418, 3981, 11934, 11285
4/2016, 4302, 2889, 9507, 6313
5/2016, 2108, 3530, 8150, 3623
6/2016, 3713, 5995, 9054, 2634
7/2016, 13742, 9392, 10534, 2291
8/2016, 2562, 9424, 10741, 1858
9/2016, 10728, 9464, 9555, 3165

Náhrady výdělku, , , , ,
Měsíc, Jakub Michálek, Mikuláš Ferjenčík, Ondřej Profant, Adam Zábranský
10/2015, 12712,5, 12127, 15187, 11722
11/2015, 14175, 14355, 14512, 8437
12/2015, 6300, 7425, 10125, 8212
1/2016, 7762,5, 8509, 6975, 5962
2/2016, 8032,5, 7200, 9675, 6367
3/2016, 7974, 6862, 10831, 8280
4/2016, 5850, 6412, 7020, 6907
5/2016, 1575, 2700, 5175, 2700
6/2016, 4500, 9112, 14625, 7875
7/2016, 0, 0, 0, 0
8/2016, 0, 0, 0, 0
9/2016, 6066, 0, 0, 0

Paušální odměny, , , , ,
Měsíc, Jakub Michálek, Mikuláš Ferjenčík, Ondřej Profant, Adam Zábranský
10/2015, 5486, 5486, 5486, 5486
11/2015, 5486, 5486, 5486, 5486
12/2015, 5486, 5486, 5486, 5486
1/2016, 5486, 5486, 5486, 5486
2/2016, 5651, 5651, 5651, 5651
3/2016, 5651, 5651, 5651, 5651
4/2016, 5651, 5651, 5651, 5651
5/2016, 5651, 5651, 5651, 5651
6/2016, 5651, 5651, 5651, 5651
7/2016, 5651, 5651, 5651, 5651
8/2016, 5651, 5651, 5651, 5651
9/2016, 5651, 5651, 5651, 5651
