kniha,castka,nazev_subjektu,popis,datum_evidence,datum_uhrady
40 - Odbor informatiky,130680.00,ICZ a.s.,0934/2005/DIL - údržba a rozvoj IS PKO - 4.Q 2014,2014-10-09,2014-10-24
40 - Odbor informatiky,130680.00,ICZ a.s.,0934/2005/DIL - údržba a rozvoj IS PKO - 3.Q 2014,2014-07-10,2014-07-22
40 - Odbor informatiky,130680.00,ICZ a.s.,0934/2005/DIL - údržba a rozvoj IS PKO - 2.Q 2014,2014-04-07,2014-04-17
40 - Odbor informatiky,130680.00,ICZ a.s.,0934/2005/DIL - údržba a rozvoj IS PKO - 1.Q 2014,2014-01-14,2014-01-28
40 - Odbor informatiky,60500.00,"APOGEO Esteem, a.s.","Obj. 1340200173 - znalecký posudek ""Migrace IS PKO- identifikace překážek""",2013-11-11,2013-11-20
40 - Odbor informatiky,154560.00,ICZ a.s., 0934/2005/DIL - údržba a rozvoj IS PKO - práce na základě ZL 2012-12-02,2013-01-15,2013-01-31
40 - Odbor informatiky,78720.00,ICZ a.s.,0934/2005/DIL - údržba a rozvoj IS PKO - práce na základě ZL 2012-12-01,2013-01-15,2013-01-31
40 - Odbor informatiky,52800.00,ICZ a.s.,0934/2005/DIL - údržba a rozvoj IS PKO - práce na základě ZL 2012-12-03,2013-01-15,2013-01-31
40 - Odbor informatiky,129600.00,ICZ a.s.,0934/2005/DIL - PKO - údržba IS PKO - 4.Q 2012,2012-10-05,2012-10-23
40 - Odbor informatiky,129600.00,ICZ a.s.,0934/2005/DIL - PKO - údržba IS PKO - 3.Q 2012,2012-07-11,2012-07-25
40 - Odbor informatiky,129600.00,ICZ a.s.,0934/2005/LIC - údržba a rozvoj IS PKO za 1.Q 2012,2012-04-06,2012-04-26
40 - Odbor informatiky,68400.00,ICZ a.s.,"934/0/05/2005/DIL  -  ""Údržba a rozvoj projektu IS PKO Změnový požadavek 2011-12-04"".",2012-01-26,2012-02-08
40 - Odbor informatiky,129600.00,ICZ a.s.,0934/2005/LIC - údržba a rozvoj IS PKO za 1.Q 2012 OPR VS 90032943,2012-01-13,2012-02-01
40 - Odbor informatiky,1447680.00,ICZ a.s.,0934/2005/DIL - PKO - ZL 2010-10-002 - příprava dat IS PKO  k migraci do PROXIO,2011-11-09,2011-11-29
40 - Odbor informatiky,129600.00,ICZ a.s.,0934/2005/DIL -údržba a rozvoj IS PKO,2011-01-06,2011-01-18
