kniha,castka,nazev_subjektu,ICO,smlouva_id,datum_evidence,popis
01 - Odbor hospodářské správy,5343.6,ASCOM Praha,40767698,,2002-01-18,
01 - Odbor hospodářské správy,829.6,ASCOM Praha,40767698,,2002-04-08,
01 - Odbor hospodářské správy,10065,ASCOM Praha,40767698,,2002-04-26,
01 - Odbor hospodářské správy,829.6,ASCOM Praha,40767698,,2002-09-24,
01 - Odbor hospodářské správy,2775.5,ASCOM Praha,40767698,,2002-09-24,
01 - Odbor hospodářské správy,2775.5,ASCOM Praha,40767698,,2002-09-11,
01 - Odbor hospodářské správy,9845.4,ASCOM Praha,40767698,,2002-11-05,
08 - Odbor krizového řízení,60207,ASCOM Praha,40767698,,2002-12-10,
08 - Odbor krizového řízení,10999005,ASCOM Praha,40767698,,2002-12-10,
08 - Odbor krizového řízení,4275618.1,ASCOM Praha,40767698,,2002-12-11,
08 - Odbor krizového řízení,18696983,ASCOM Praha,40767698,,2002-12-11,
08 - Odbor krizového řízení,1999240,ASCOM Praha,40767698,,2002-12-16,
08 - Odbor krizového řízení,17998895,ASCOM Praha,40767698,,2002-12-16,
08 - Odbor krizového řízení,1985550,ASCOM Praha,40767698,,2002-12-16,
08 - Odbor krizového řízení,7300000,ASCOM Praha,40767698,,2002-11-04,
08 - Odbor krizového řízení,4990544.6,ASCOM Praha,40767698,,2002-07-24,
08 - Odbor krizového řízení,4999268.6,ASCOM Praha,40767698,,2002-07-08,
08 - Odbor krizového řízení,4763286.7,ASCOM Praha,40767698,,2002-07-11,
08 - Odbor krizového řízení,5000000,ASCOM Praha,40767698,,2002-07-11,
08 - Odbor krizového řízení,173873.2,ASCOM Praha,40767698,,2002-06-27,
08 - Odbor krizového řízení,4488624,ASCOM Praha,40767698,,2002-04-12,
08 - Odbor krizového řízení,20000,ASCOM Praha,40767698,,2002-02-15,
08 - Odbor krizového řízení,1037000,ASCOM Praha,40767698,,2002-04-12,
08 - Odbor krizového řízení,5000000,ASCOM Praha,40767698,,2002-04-02,
08 - Odbor krizového řízení,247178.1,ASCOM Praha,40767698,,2002-10-29,
08 - Odbor krizového řízení,4275618.1,ASCOM Praha,40767698,,2002-10-15,
01 - Odbor hospodářské správy,1017.5,ASCOM Praha,40767698,,2003-02-10,
01 - Odbor hospodářské správy,10065,ASCOM Praha,40767698,,2003-02-07,
01 - Odbor hospodářské správy,29032.5,ASCOM Praha,40767698,,2003-12-08,za výměnu anténního  stožáru na budově MHMP
08 - Odbor krizového řízení,4275618.1,ASCOM Praha,40767698,,2003-04-17,
08 - Odbor krizového řízení,4275618.1,ASCOM Praha,40767698,,2003-07-09,
