kniha,castka,nazev_subjektu,ICO,smlouva_id,datum_evidence,popis
08 - Odbor bezpečnosti a krizového řízení,1,COFI s.r.o.,27187616,MHMPXOU9YI2K,2015-01-12,servis autonomního systému varování a vyrozumění obyvatelstva hl.m. Prahy ASVV - 4.Q.2014
08 - Odbor bezpečnosti a krizového řízení,503,COFI s.r.o.,27187616,MHMPXOU9YGXN,2015-01-12,zajištění servisu - komunikační a informační technologie ZBS - 4.Q.2014
08 - Odbor bezpečnosti a krizového řízení,105512,COFI s.r.o.,27187616,MHMPXP0PUL93,2014-12-16,obj.č. BKR 69/2013 - Údržba a doplnění neobsazených pozic u sirénových přijímačů
08 - Odbor bezpečnosti a krizového řízení,111925,COFI s.r.o.,27187616,MHMPXP0OGGD1,2014-12-08,obj. č. BKR 73/2014 oprava - výměna zařízení UPS GAIA 2kVA
08 - Odbor bezpečnosti a krizového řízení,1587507.3,COFI s.r.o.,27187616,MHMPXOU9YI2K,2014-10-08,Servis autonomního systému varování a vyrozumění obyvatelstva hl.m.Prahy ASVV 3.Q.2014
08 - Odbor bezpečnosti a krizového řízení,503421.11,COFI s.r.o.,27187616,MHMPXOU9YGXN,2014-10-08,Servis komunikačních a informačních technologií ZBS 3.Q.2014
08 - Odbor bezpečnosti a krizového řízení,4827.9,COFI s.r.o.,27187616,MHMPXP06R33H,2014-09-11,obj.č. 36/2014 - dodávka a montáž příposlechu test. sirény
08 - Odbor bezpečnosti a krizového řízení,1587507.3,COFI s.r.o.,27187616,MHMPXOU9YI2K,2014-07-09,zajištění servisu autonomního systému varování a vyrozumění 2.Q.2014
08 - Odbor bezpečnosti a krizového řízení,503421.11,COFI s.r.o.,27187616,MHMPXOU9YGXN,2014-07-09,zajištění servisu komunikačních a informačních technologií ZBS 2.Q.2014
08 - Odbor bezpečnosti a krizového řízení,1587507.3,COFI s.r.o.,27187616,MHMPXOU9YI2K,2014-04-11,servis autonomního systému varování a vyrozumění obyvatelstva hl.m. prahy - ASVV 1.Q.2014
08 - Odbor bezpečnosti a krizového řízení,503421.11,COFI s.r.o.,27187616,MHMPXOU9YGXN,2014-04-11,Servis komunikačních a informačních technologií ZBS 1.Q.2014
08 - Odbor bezpečnosti a krizového řízení,384551.31,COFI s.r.o.,27187616,MHMPXOYUTB9Q,2013-12-19,1x siréna
08 - Odbor bezpečnosti a krizového řízení,503421.11,COFI s.r.o.,27187616,MHMPXOU9YGXN,2013-12-13,zajištění servisu ZBS 4.Q.2013
08 - Odbor bezpečnosti a krizového řízení,1587507.3,COFI s.r.o.,27187616,MHMPXOU9YI2K,2013-12-13,zajištění servisu ASVV 4.Q.2013
08 - Odbor bezpečnosti a krizového řízení,1210,COFI s.r.o.,27187616,MHMPXOYTMNA9,2013-12-11,obj. BKR 87/2013 - nákup materiálu - mikrotelefonní souprava pro radiostanice MTH 800
08 - Odbor bezpečnosti a krizového řízení,168661.9,COFI s.r.o.,27187616,MHMPXOYTU1T0,2013-12-11,obj.č. BKR 83/2013 - nákup DDHM - digitální tel.souprava
08 - Odbor bezpečnosti a krizového řízení,54237.04,COFI s.r.o.,27187616,MHMPXOYS7R1M,2013-12-03,"obj.č. BKR 70/2013 MX board, MD integrated - licence"
08 - Odbor bezpečnosti a krizového řízení,1587507.3,COFI s.r.o.,27187616,MHMPXOU9YI2K,2013-10-09,zajištění servisu - ASVV od 1.7.2013-30.9.2013
08 - Odbor bezpečnosti a krizového řízení,4536603.21,COFI s.r.o.,27187616,MHMPXOU9YLYJ,2013-10-09,zajištění servisu - MRS TETRA od 1.7.2013-17.9.2013
08 - Odbor bezpečnosti a krizového řízení,503421.11,COFI s.r.o.,27187616,MHMPXOU9YGXN,2013-10-09,zajištění servisu - ZBS 1.7.2013-30.9.2013
08 - Odbor bezpečnosti a krizového řízení,5283132.86,COFI s.r.o.,27187616,MHMPXOU9YLYJ,2013-07-09,zajištění servisu sml. 3676/2005 - Městský rádiový systém - 2.Q.2013
08 - Odbor bezpečnosti a krizového řízení,503421.11,COFI s.r.o.,27187616,MHMPXOU9YGXN,2013-07-09,zajištění servisu sml. 4608/2010 - komunikační a informační technologie Záchranného bezpečnostního systému - 2.Q.2013
08 - Odbor bezpečnosti a krizového řízení,1587507.3,COFI s.r.o.,27187616,MHMPXOU9YI2K,2013-07-09,zajištění servisu sml.4602/2010 - Autonomní systém varování a vyrozumění - 2.Q.2013
08 - Odbor bezpečnosti a krizového řízení,478252.5,COFI s.r.o.,27187616,MHMPXOU9YGXN,2013-04-10,servisní sml. 4608/2010 ZBS 1.Q.2013
08 - Odbor bezpečnosti a krizového řízení,5018998.02,COFI s.r.o.,27187616,MHMPXOU9YLYJ,2013-04-10,servisní smlouva 3676/2005 TETRA 1.Q.2013
08 - Odbor bezpečnosti a krizového řízení,1508144,COFI s.r.o.,27187616,MHMPXOU9YI2K,2013-04-10,servisní smlouva 4602/2010 ASVV 1.Q.2013
08 - Odbor bezpečnosti a krizového řízení,474300,COFI s.r.o.,27187616,MHMPXOU9YGXN,2013-01-03,nákup služeb - zajištění servisu 4.Q.2012
08 - Odbor bezpečnosti a krizového řízení,4573245.6,COFI s.r.o.,27187616,MHMPXOX8VPPZ,2012-12-14,investiční akce č. 4730 - autonomní systém varování
08 - Odbor bezpečnosti a krizového řízení,1495680,COFI s.r.o.,27187616,MHMPXOU9YI2K,2012-12-13,servisní služba - autonomní systém varování 4.Q.2012
08 - Odbor bezpečnosti a krizového řízení,4977518.7,COFI s.r.o.,27187616,MHMPXOU9YLYJ,2012-12-12,zajištění servisu 4.Q.2012
08 - Odbor bezpečnosti a krizového řízení,474300,COFI s.r.o.,27187616,MHMPXOU9YGXN,2012-10-22,zajištění servisní smlouvy za 3.Q.2012
08 - Odbor bezpečnosti a krizového řízení,1495680,COFI s.r.o.,27187616,MHMPXOU9YI2K,2012-10-18,zajištění servisní smlouva 4602 3.Q.2012
08 - Odbor bezpečnosti a krizového řízení,4977518.7,COFI s.r.o.,27187616,MHMPXOU9YLYJ,2012-10-16,zajištění služeb - serv. sml. č. 3676/2005 - MRS 3.Q.2012
08 - Odbor bezpečnosti a krizového řízení,1495680,ASCOM (CZ) s.r.o.,27187616,MHMPXOU9YI2K,2012-07-24,nákup služeb - zajištění servisu - Autonomní systém varování - 2.Q.2012
08 - Odbor bezpečnosti a krizového řízení,4977518.7,ASCOM (CZ) s.r.o.,27187616,MHMPXOU9YLYJ,2012-07-17,opravy a údržba MRS za II.Q 2012
08 - Odbor bezpečnosti a krizového řízení,474300,ASCOM (CZ) s.r.o.,27187616,MHMPXOU9YGXN,2012-07-11,nákup služeb - zajištění servisu komunikačních a informačních technologií ZBS za II.Q 2012
