kniha;castka;nazev_subjektu;ICO;evidencni_cislo;datum_evidence;popis
08 - Odbor krizového řízení;49152236;KH SERVIS spol.s r.o.;45279748;60800460;2006-09-01;
JPD2 - individuální projekty;49152236;KH SERVIS spol.s r.o.;45279748;602100060;2006-09-01;
JPD2 - individuální projekty;48122529;KH SERVIS spol.s r.o.;45279748;602100062;2006-09-05;
40 - Odbor informatiky;31771672;KH SERVIS a.s.;45279748;104001343;2010-10-13;2298/2010/DIL - dílo dodávek a montáží integrace KS TSK do systému MKS - integrace kamer technické správy komunikace do systému MKS - MČ
08 - Odbor krizového řízení;31356717;KH SERVIS spol.s r.o.;45279748;60800721;2006-12-14;
08 - Odbor krizového řízení;28981458;KH SERVIS a.s.;45279748;110800806;2011-12-13;akce č. 40459 - sml. 4905 Městský kamerový systém - rozšíření a integrace
40 - Odbor informatiky;28647920;KH SERVIS a.s.;45279748;104001344;2010-10-13;2298/2010/DIL - dodávka a montáž integrace KS TSK do systému MKS - vytvoření bezpečnostní přístupové vrstvy systému MKS pro integraci a okolní systémy - MČ
08 - Odbor krizového řízení;23799417;KH SERVIS spol.s r.o.;45279748;80800784;2008-12-15;akce č. 7000 - Rozšíření MKS
40 - Odbor informatiky;23797680;KH SERVIS a.s.;45279748;94001789;2009-11-04;DIL/2000/2009 - MKS- rozvoj  práce s obrazem
08 - Odbor krizového řízení;23797449;KH SERVIS spol.s r.o.;45279748;80800706;2008-12-03;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;23795464;KH SERVIS spol.s r.o.;45279748;70800820;2007-12-13;akce číslo 7000 - Rozšíření MKS
08 - Odbor krizového řízení;22888635;KH SERVIS spol.s r.o.;45279748;70800823;2007-12-13;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;22094130;KH SERVIS a.s.;45279748;100800379;2010-07-07;vyúčtování zál. fa č. ZO-1/2009
08 - Odbor krizového řízení;22094130;KH SERVIS a.s.;45279748;90800818;2009-12-17;akce č. 40459 - rozšíření a integrace MKS
08 - Odbor krizového řízení;21919467;KH SERVIS spol.s r.o.;45279748;80800500;2008-09-11;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;21919466;KH SERVIS spol.s r.o.;45279748;70800825;2007-12-13;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;21519321;KH SERVIS spol.s r.o.;45279748;30801338;2003-12-16;dílčí plnění - Rozšíření MKS
08 - Odbor krizového řízení;20905944;KH SERVIS a.s.;45279748;90800267;2009-05-18;akce č. 40459 - Rozšíření a integrace Městského kamerového systému
08 - Odbor krizového řízení;19750000;KH SERVIS spol.s r.o.;45279748;20801158;2002-12-06;
08 - Odbor krizového řízení;19697721;KH SERVIS spol.s r.o.;45279748;80800824;2008-12-17;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;17737480;KH SERVIS spol.s r.o.;45279748;70800824;2007-12-13;akcč . 7000 - Rozšíření MKS
08 - Odbor krizového řízení;17737480;KH SERVIS spol.s r.o.;45279748;80800405;2008-07-15;vyúčtování zál. fa č. ZO-000001/07212
08 - Odbor krizového řízení;16448896;KH SERVIS spol.s r.o.;45279748;40801276;2004-12-14;
08 - Odbor krizového řízení;16250000;KH SERVIS spol.s r.o.;45279748;20800122;2002-05-02;
08 - Odbor krizového řízení;16249991;KH SERVIS spol.s r.o.;45279748;20801028;2002-11-21;
JPD2 - individuální projekty;16054326;KH SERVIS spol.s r.o.;45279748;602100100;2006-12-15;
08 - Odbor krizového řízení;14787274;KH SERVIS spol.s r.o.;45279748;50800805;2005-09-01;
JPD2 - individuální projekty;14231182;KH SERVIS spol.s r.o.;45279748;702100008;2007-02-28;Akce číslo 1050 - Vybudování kamerového
40 - Odbor informatiky;13504655;KH SERVIS spol.s r.o.;45279748;84001874;2008-12-15;DIL/40/01/001770/2008 - klientská pracoviště realizace prostorových dat v ceněúprava a optimalizace stávajících modulů v ceně
